"filename", "language", "JavaScript", "PHP", "JSON", "XML", "CSS", "Markdown", "HTML", "SQL", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\shopbanhanglaravel\.styleci.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"c:\xampp\htdocs\shopbanhanglaravel\README.md", "Markdown", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 20, 67
"c:\xampp\htdocs\shopbanhanglaravel\app\Console\Kernel.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 0, 0, 12, 6, 33
"c:\xampp\htdocs\shopbanhanglaravel\app\Exceptions\Handler.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 23, 7, 51
"c:\xampp\htdocs\shopbanhanglaravel\app\Exports\ExcelExports.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 4, 18
"c:\xampp\htdocs\shopbanhanglaravel\app\Exports\ExportProduct.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 4, 18
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\AdminController.php", "PHP", 0, 128, 0, 0, 0, 0, 0, 0, 0, 15, 30, 173
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\AuthController.php", "PHP", 0, 50, 0, 0, 0, 0, 0, 0, 0, 1, 11, 62
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\BrandProduct.php", "PHP", 0, 95, 0, 0, 0, 0, 0, 0, 0, 7, 23, 125
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\CartController.php", "PHP", 0, 171, 0, 0, 0, 0, 0, 0, 0, 7, 26, 204
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\CategoryPostController.php", "PHP", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 20, 89
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\CategoryProduct.php", "PHP", 0, 111, 0, 0, 0, 0, 0, 0, 0, 4, 24, 139
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\CheckoutController.php", "PHP", 0, 231, 0, 0, 0, 0, 0, 0, 0, 5, 54, 290
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\Controller.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\CouponController.php", "PHP", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 12, 54
