"filename", "language", "PHP", "JavaScript", "CSS", "JSON", "comment", "blank", "total"
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\CategoryProduct.php", "PHP", 11, 0, 0, 0, 0, 4, 15
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\ContactController.php", "PHP", 23, 0, 0, 0, 4, 9, 36
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\GalleryController.php", "PHP", 98, 0, 0, 0, 25, 14, 137
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\HomeController.php", "PHP", 15, 0, 0, 0, 0, 2, 17
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\PostController.php", "PHP", 69, 0, 0, 0, 5, 28, 102
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\Product.php", "PHP", 109, 0, 0, 0, 3, 21, 133
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\SliderController.php", "PHP", 12, 0, 0, 0, 0, 2, 14
"c:\xampp\htdocs\shopbanhanglaravel\app\Models\CategoryProductModels.php", "PHP", 3, 0, 0, 0, 0, 1, 4
"c:\xampp\htdocs\shopbanhanglaravel\app\Models\Comment.php", "PHP", 14, 0, 0, 0, 0, 5, 19
"c:\xampp\htdocs\shopbanhanglaravel\app\Models\Contact.php", "PHP", 11, 0, 0, 0, 0, 4, 15
"c:\xampp\htdocs\shopbanhanglaravel\app\Models\Gallery.php", "PHP", 11, 0, 0, 0, 0, 4, 15
"c:\xampp\htdocs\shopbanhanglaravel\app\Models\Post.php", "PHP", 3, 0, 0, 0, 0, 1, 4
"c:\xampp\htdocs\shopbanhanglaravel\app\Models\Product.php", "PHP", 3, 0, 0, 0, 0, 1, 4
"c:\xampp\htdocs\shopbanhanglaravel\app\Models\Rating.php", "PHP", 11, 0, 0, 0, 0, 4, 15
"c:\xampp\htdocs\shopbanhanglaravel\composer.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"c:\xampp\htdocs\shopbanhanglaravel\composer.lock", "JSON", 0, 0, 0, 56, 0, 0, 56
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\css\bootstrap-tagsinput.css", "CSS", 0, 0, 55, 0, 0, 1, 56
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\js\bootstrap-tagsinput.min.js", "JavaScript", 0, 1, 0, 0, 5, 1, 7
"c:\xampp\htdocs\shopbanhanglaravel\public\frontend\css\lightgallery.min.css", "CSS", 0, 0, 818, 0, 0, 149, 967
"c:\xampp\htdocs\shopbanhanglaravel\public\frontend\css\lightslider.css", "CSS", 0, 0, 350, 0, 16, 26, 392
"c:\xampp\htdocs\shopbanhanglaravel\public\frontend\css\main.css", "CSS", 0, 0, -1, 0, 0, 0, -1
"c:\xampp\htdocs\shopbanhanglaravel\public\frontend\css\prettify.css", "CSS", 0, 0, 26, 0, 1, 3, 30
"c:\xampp\htdocs\shopbanhanglaravel\public\frontend\js\lightgallery-all.min.js", "JavaScript", 0, 2, 0, 0, 3, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\frontend\js\lightslider.js", "JavaScript", 0, 1102, 0, 0, 11, 27, 1140
"c:\xampp\htdocs\shopbanhanglaravel\public\frontend\js\prettify.js", "JavaScript", 0, 28, 0, 0, 0, 0, 28
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\add_product.blade.php", "PHP", 4, 0, 0, 0, 0, 0, 4
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\all_brand_product.blade.php", "PHP", 1, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\all_category_product.blade.php", "PHP", 11, 0, 0, 0, 0, 0, 11
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\all_product.blade.php", "PHP", 3, 0, 0, 0, 0, -1, 2
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\category_post\list_category_post.blade.php", "PHP", 1, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\comment\list_comment.blade.php", "PHP", 86, 0, 0, 0, 0, 3, 89
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\coupon\list_coupon.blade.php", "PHP", 1, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\edit_product.blade.php", "PHP", 4, 0, 0, 0, 0, 0, 4
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\gallery\add_gallery.blade.php", "PHP", 22, 0, 0, 0, 21, 1, 44
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\post\edit_post.blade.php", "PHP", 75, 0, 0, 0, 0, 4, 79
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\post\list_post.blade.php", "PHP", 1, 0, 0, 0, 0, -1, 0
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\slider\list_slider.blade.php", "PHP", 1, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\users\all_users.blade.php", "PHP", -6, 0, 0, 0, 0, 1, -5
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin_layout.blade.php", "PHP", 164, 0, 0, 0, 1, 21, 186
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\index.blade.php", "PHP", 122, 0, 0, 0, 3, 11, 136
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\contact\contact.blade.php", "PHP", 24, 0, 0, 0, 0, 5, 29
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\post\category_post.blade.php", "PHP", 25, 0, 0, 0, 0, 7, 32
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\post\post.blade.php", "PHP", 34, 0, 0, 0, 0, 7, 41
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\product\show_details.blade.php", "PHP", 40, 0, 0, 0, 0, 0, 40
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\product\tag.blade.php", "PHP", 41, 0, 0, 0, 0, 4, 45
"c:\xampp\htdocs\shopbanhanglaravel\routes\web.php", "PHP", 23, 0, 0, 0, 5, 7, 35
"Total", "-", 1070, 1133, 1248, 57, 103, 376, 3987
