"filename", "language", "PHP", "JSON", "comment", "blank", "total"
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\CartController.php", "PHP", 2, 0, 0, 1, 3
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\CategoryProduct.php", "PHP", 61, 0, 1, 13, 75
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\CheckoutController.php", "PHP", 49, 0, 5, 14, 68
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\HomeController.php", "PHP", -8, 0, -4, -1, -13
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\MailController.php", "PHP", 60, 0, 5, 22, 87
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\PaypalController.php", "PHP", 7, 0, 1, 4, 12
"c:\xampp\htdocs\shopbanhanglaravel\app\Models\CategoryProductModels.php", "PHP", 3, 0, 0, 1, 4
"c:\xampp\htdocs\shopbanhanglaravel\app\Models\Product.php", "PHP", 3, 0, 0, 1, 4
"c:\xampp\htdocs\shopbanhanglaravel\composer.json", "JSON", 0, 1, 0, 0, 1
"c:\xampp\htdocs\shopbanhanglaravel\composer.lock", "JSON", 0, 64, 0, 0, 64
"c:\xampp\htdocs\shopbanhanglaravel\config\paypal.php", "PHP", 19, 0, 4, 3, 26
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\coupon\list_coupon.blade.php", "PHP", 1, 0, 0, 1, 2
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\index.blade.php", "PHP", 69, 0, 6, 8, 83
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\category\show_category.blade.php", "PHP", 15, 0, 0, 2, 17
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\checkout\forgot_password.blade.php", "PHP", 19, 0, 0, 2, 21
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\checkout\login_checkout.blade.php", "PHP", 3, 0, 0, 0, 3
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\checkout\show_checkout.blade.php", "PHP", 11, 0, 0, 3, 14
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\home.blade.php", "PHP", 18, 0, 0, 1, 19
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\send_coupon.blade.php", "PHP", 16, 0, 0, 0, 16
"c:\xampp\htdocs\shopbanhanglaravel\routes\web.php", "PHP", 6, 0, 1, 4, 11
"Total", "-", 354, 65, 19, 79, 517
