"filename", "language", "CSS", "PHP", "Markdown", "JavaScript", "XML", "HTML", "JSON", "YAML", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\shopbanhanglaravel\.styleci.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\xampp\htdocs\shopbanhanglaravel\README.md", "Markdown", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 20, 67
"c:\xampp\htdocs\shopbanhanglaravel\app\Console\Kernel.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 0, 0, 12, 6, 33
"c:\xampp\htdocs\shopbanhanglaravel\app\Exceptions\Handler.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 23, 7, 51
"c:\xampp\htdocs\shopbanhanglaravel\app\Exports\ExcelExports.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 4, 18
"c:\xampp\htdocs\shopbanhanglaravel\app\Exports\ExportProduct.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 4, 18
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\AdminController.php", "PHP", 0, 128, 0, 0, 0, 0, 0, 0, 0, 15, 30, 173
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\AuthController.php", "PHP", 0, 50, 0, 0, 0, 0, 0, 0, 0, 1, 11, 62
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\BrandProduct.php", "PHP", 0, 95, 0, 0, 0, 0, 0, 0, 0, 7, 23, 125
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\CartController.php", "PHP", 0, 173, 0, 0, 0, 0, 0, 0, 0, 7, 27, 207
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\CategoryPostController.php", "PHP", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 20, 89
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\CategoryProduct.php", "PHP", 0, 183, 0, 0, 0, 0, 0, 0, 0, 5, 41, 229
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\CheckoutController.php", "PHP", 0, 280, 0, 0, 0, 0, 0, 0, 0, 10, 68, 358
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\ContactController.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 0, 4, 9, 36
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\Controller.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\CouponController.php", "PHP", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 12, 54
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\DeliveryController.php", "PHP", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 11, 97
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\GalleryController.php", "PHP", 0, 98, 0, 0, 0, 0, 0, 0, 0, 25, 14, 137
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\HomeController.php", "PHP", 0, 56, 0, 0, 0, 0, 0, 0, 0, 7, 23, 86
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\MailController.php", "PHP", 0, 60, 0, 0, 0, 0, 0, 0, 0, 5, 22, 87
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\OrderController.php", "PHP", 0, 237, 0, 0, 0, 0, 0, 0, 0, 1, 54, 292
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\PaypalController.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 4, 12
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\PostController.php", "PHP", 0, 138, 0, 0, 0, 0, 0, 0, 0, 5, 49, 192
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\Product.php", "PHP", 0, 249, 0, 0, 0, 0, 0, 0, 0, 8, 48, 305
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\SliderController.php", "PHP", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 18, 90
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\UserController.php", "PHP", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 14, 85
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Kernel.php", "PHP", 0, 42, 0, 0, 0, 0, 0, 0, 0, 21, 8, 71
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Middleware\AccessPermission.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 0, 0, 7, 5, 28
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Middleware\Authenticate.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 6, 4, 22
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Middleware\EncryptCookies.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Middleware\Impersonate.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 0, 0, 7, 4, 26
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Middleware\PreventRequestsDuringMaintenance.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 8, 6, 33
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Middleware\TrimStrings.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 0, 5, 4, 20
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Middleware\TrustHosts.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 4, 21
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Middleware\TrustProxies.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 0, 10, 5, 29
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Middleware\VerifyCsrfToken.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\xampp\htdocs\shopbanhanglaravel\app\Imports\ExcelImports.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 0, 0, 5, 4, 25
"c:\xampp\htdocs\shopbanhanglaravel\app\Imports\ImportProduct.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 5, 4, 30
"c:\xampp\htdocs\shopbanhanglaravel\app\Models\Admin.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 8, 35
"c:\xampp\htdocs\shopbanhanglaravel\app\Models\Brand.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17
"c:\xampp\htdocs\shopbanhanglaravel\app\Models\CategoryPost.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\xampp\htdocs\shopbanhanglaravel\app\Models\CategoryProductModels.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"c:\xampp\htdocs\shopbanhanglaravel\app\Models\City.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\xampp\htdocs\shopbanhanglaravel\app\Models\Comment.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\xampp\htdocs\shopbanhanglaravel\app\Models\Contact.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\xampp\htdocs\shopbanhanglaravel\app\Models\Coupon.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
