"filename", "language", "PHP", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\CartController.php", "PHP", 39, 0, 1, 1, 41
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\CheckoutController.php", "PHP", 6, 0, 7, 1, 14
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\CouponController.php", "PHP", 4, 0, 0, 0, 4
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\MailController.php", "PHP", 71, 0, 7, 21, 99
"c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\OrderController.php", "PHP", 2, 0, 0, 0, 2
"c:\xampp\htdocs\shopbanhanglaravel\app\Models\Coupon.php", "PHP", -1, 0, 0, 0, -1
"c:\xampp\htdocs\shopbanhanglaravel\public\frontend\css\main.css", "CSS", 0, 86, 0, 11, 97
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\add_product.blade.php", "PHP", 7, 0, 0, 0, 7
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\coupon\insert_coupon.blade.php", "PHP", 8, 0, 0, 0, 8
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\coupon\list_coupon.blade.php", "PHP", 29, 0, 0, 1, 30
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\custom_auth\login.blade.php", "PHP", -9, 0, 0, 1, -8
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\custom_auth\register.blade.php", "PHP", -7, 0, 0, 1, -6
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin_layout.blade.php", "PHP", 34, 0, 0, 6, 40
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin_login.blade.php", "PHP", -9, 0, 0, 1, -8
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\index.blade.php", "PHP", -233, 0, -6, -19, -258
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\brand\show_brand.blade.php", "PHP", 6, 0, 0, 2, 8
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\category\show_category.blade.php", "PHP", 6, 0, 0, 3, 9
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\checkout\forget_password_notify.blade.php", "PHP", 12, 0, 0, 0, 12
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\checkout\forgot_password.blade.php", "PHP", 9, 0, 0, 0, 9
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\checkout\login_checkout.blade.php", "PHP", 6, 0, 0, 1, 7
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\checkout\new_password.blade.php", "PHP", 34, 0, 0, 2, 36
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\checkout\show_checkout.blade.php", "PHP", 5, 0, 0, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\home.blade.php", "PHP", 6, 0, 0, 3, 9
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\include\sidebar.blade.php", "PHP", 42, 0, 0, 5, 47
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\include\slider.blade.php", "PHP", 36, 0, 0, 4, 40
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\product\show_details.blade.php", "PHP", -2, 0, 0, 2, 0
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\product\tag.blade.php", "PHP", 3, 0, 0, 2, 5
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\send_coupon_vip.blade.php", "PHP", 16, 0, 0, 0, 16
"c:\xampp\htdocs\shopbanhanglaravel\routes\web.php", "PHP", 15, 0, 0, 3, 18
"Total", "-", 135, 86, 9, 52, 282
