Date : 2022-06-29 23:46:36
Directory : c:\xampp\htdocs\shopbanhanglaravel
Total : 625 files,  94132 codes, 6640 comments, 10523 blanks, all 111295 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        304 |     29,558 |      4,433 |      5,423 |     39,414 |
| CSS        |         65 |     25,057 |        551 |      1,839 |     27,447 |
| SQL        |          1 |     11,962 |         32 |          7 |     12,001 |
| JSON       |          5 |      9,241 |          0 |          4 |      9,245 |
| PHP        |        173 |      9,073 |      1,512 |      1,606 |     12,191 |
| HTML       |         41 |      4,077 |        109 |        588 |      4,774 |
| Markdown   |         26 |      3,443 |          0 |      1,051 |      4,494 |
| XML        |          9 |      1,709 |          3 |          4 |      1,716 |
| YAML       |          1 |         12 |          0 |          1 |         13 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |        625 |     94,132 |      6,640 |     10,523 |    111,295 |
| app                                                                                                                   |         69 |      3,002 |        360 |        770 |      4,132 |
| app\Console                                                                                                           |          1 |         15 |         12 |          6 |         33 |
| app\Exceptions                                                                                                        |          1 |         21 |         23 |          7 |         51 |
| app\Exports                                                                                                           |          2 |         22 |          6 |          8 |         36 |
| app\Http                                                                                                              |         31 |      2,414 |        203 |        577 |      3,194 |
| app\Http\Controllers                                                                                                  |         20 |      2,249 |        116 |        525 |      2,890 |
| app\Http\Middleware                                                                                                   |         10 |        123 |         66 |         44 |        233 |
| app\Imports                                                                                                           |          2 |         37 |         10 |          8 |         55 |
| app\Models                                                                                                            |         25 |        358 |         15 |        121 |        494 |
| app\Providers                                                                                                         |          6 |        115 |         73 |         37 |        225 |
| app\Rules                                                                                                             |          1 |         20 |         18 |          6 |         44 |
| bootstrap                                                                                                             |          1 |         17 |         30 |          9 |         56 |
| config                                                                                                                |         16 |        586 |        733 |        250 |      1,569 |
| database                                                                                                              |         17 |        380 |        164 |         76 |        620 |
| database\factories                                                                                                    |          1 |         25 |         13 |          5 |         43 |
| database\migrations                                                                                                   |         13 |        289 |        130 |         52 |        471 |
| database\seeders                                                                                                      |          3 |         66 |         21 |         19 |        106 |
| lang                                                                                                                  |          4 |        151 |         60 |         24 |        235 |
| lang\en                                                                                                               |          4 |        151 |         60 |         24 |        235 |
| public                                                                                                                |        441 |     63,851 |      5,080 |      8,875 |     77,806 |
| public\backend                                                                                                        |        415 |     51,822 |      4,663 |      6,899 |     63,384 |
| public\backend\ckeditor                                                                                               |        363 |     14,964 |      1,433 |      2,084 |     18,481 |
| public\backend\ckeditor\adapters                                                                                      |          1 |          6 |          4 |          0 |         10 |
| public\backend\ckeditor\lang                                                                                          |         70 |         70 |        280 |          0 |        350 |
| public\backend\ckeditor\plugins                                                                                       |        221 |      3,284 |        751 |        604 |      4,639 |
| public\backend\ckeditor\plugins\a11yhelp                                                                              |         65 |        484 |        260 |          0 |        744 |
| public\backend\ckeditor\plugins\a11yhelp\dialogs                                                                      |         65 |        484 |        260 |          0 |        744 |
| public\backend\ckeditor\plugins\a11yhelp\dialogs\lang                                                                 |         64 |        478 |        256 |          0 |        734 |
| public\backend\ckeditor\plugins\about                                                                                 |          1 |          4 |          4 |          0 |          8 |
| public\backend\ckeditor\plugins\about\dialogs                                                                         |          1 |          4 |          4 |          0 |          8 |
| public\backend\ckeditor\plugins\balloonpanel                                                                          |          3 |        524 |         46 |        113 |        683 |
| public\backend\ckeditor\plugins\balloonpanel\skins                                                                    |          3 |        524 |         46 |        113 |        683 |
| public\backend\ckeditor\plugins\balloonpanel\skins\kama                                                               |          1 |        168 |         15 |         38 |        221 |
| public\backend\ckeditor\plugins\balloonpanel\skins\moono                                                              |          1 |        182 |         16 |         40 |        238 |
| public\backend\ckeditor\plugins\balloonpanel\skins\moono-lisa                                                         |          1 |        174 |         15 |         35 |        224 |
| public\backend\ckeditor\plugins\balloontoolbar                                                                        |          4 |        149 |         26 |         32 |        207 |
| public\backend\ckeditor\plugins\balloontoolbar\skins                                                                  |          4 |        149 |         26 |         32 |        207 |
| public\backend\ckeditor\plugins\balloontoolbar\skins\kama                                                             |          1 |         21 |          5 |          5 |         31 |
| public\backend\ckeditor\plugins\balloontoolbar\skins\moono                                                            |          1 |         24 |          5 |          6 |         35 |
| public\backend\ckeditor\plugins\balloontoolbar\skins\moono-lisa                                                       |          1 |         32 |          6 |          7 |         45 |
| public\backend\ckeditor\plugins\clipboard                                                                             |          1 |          7 |          4 |          0 |         11 |
| public\backend\ckeditor\plugins\clipboard\dialogs                                                                     |          1 |          7 |          4 |          0 |         11 |
| public\backend\ckeditor\plugins\colordialog                                                                           |          2 |         23 |          8 |          4 |         35 |
| public\backend\ckeditor\plugins\colordialog\dialogs                                                                   |          2 |         23 |          8 |          4 |         35 |
| public\backend\ckeditor\plugins\copyformatting                                                                        |          3 |         68 |         10 |          8 |         86 |
| public\backend\ckeditor\plugins\copyformatting\cursors                                                                |          2 |         38 |          0 |          2 |         40 |
| public\backend\ckeditor\plugins\copyformatting\styles                                                                 |          1 |         30 |         10 |          6 |         46 |
| public\backend\ckeditor\plugins\dialog                                                                                |          2 |         16 |          4 |          4 |         24 |
| public\backend\ckeditor\plugins\dialog\styles                                                                         |          1 |         16 |          0 |          3 |         19 |
| public\backend\ckeditor\plugins\div                                                                                   |          1 |         10 |          0 |          0 |         10 |
| public\backend\ckeditor\plugins\div\dialogs                                                                           |          1 |         10 |          0 |          0 |         10 |
| public\backend\ckeditor\plugins\easyimage                                                                             |          2 |         79 |         27 |         19 |        125 |
| public\backend\ckeditor\plugins\easyimage\dialogs                                                                     |          1 |          2 |          4 |          0 |          6 |
| public\backend\ckeditor\plugins\easyimage\styles                                                                      |          1 |         77 |         23 |         19 |        119 |
| public\backend\ckeditor\plugins\exportpdf                                                                             |         39 |        790 |          4 |        349 |      1,143 |
| public\backend\ckeditor\plugins\exportpdf\tests                                                                       |         35 |        676 |          4 |        267 |        947 |
| public\backend\ckeditor\plugins\exportpdf\tests\_helpers                                                              |          1 |          1 |          4 |          0 |          5 |
